text,label
"Your account has been suspended. Click the link below to verify immediately.",1
"Urgent: Unusual login attempt detected. Confirm your identity now.",1
"Congratulations! You have won a $500 gift card. Claim now.",1
"Reset your password by clicking this secure link.",1
"Your bank account will be locked if not verified today.",1
"Meeting scheduled at 10 AM tomorrow. Please confirm.",0
"Here is the report you requested. Let me know your thoughts.",0
"Can we reschedule our call to next week?",0
"Your Amazon order has been shipped successfully.",0
"Lunch plans for today?",0
